SampleNum,Raw,X,Y
319,12.000000,319.000000,12.000000
320,11.000000,320.000000,11.000000
321,12.000000,321.000000,12.000000
322,4.000000,322.000000,4.000000
323,9.000000,323.000000,9.000000
324,8.000000,324.000000,8.000000
325,13.000000,325.000000,13.000000
326,16.000000,326.000000,16.000000
327,8.000000,327.000000,8.000000
328,5.000000,328.000000,5.000000
329,2.000000,329.000000,2.000000
330,7.000000,330.000000,7.000000
331,5.000000,331.000000,5.000000
332,10.000000,332.000000,10.000000
333,12.000000,333.000000,12.000000
334,13.000000,334.000000,13.000000
335,13.000000,335.000000,13.000000
336,7.000000,336.000000,7.000000
337,9.000000,337.000000,9.000000
338,9.000000,338.000000,9.000000
339,11.000000,339.000000,11.000000
340,12.000000,340.000000,12.000000
341,6.000000,341.000000,6.000000
342,3.000000,342.000000,3.000000
343,2.000000,343.000000,2.000000
344,5.000000,344.000000,5.000000
345,8.000000,345.000000,8.000000
346,9.000000,346.000000,9.000000
347,12.000000,347.000000,12.000000
348,14.000000,348.000000,14.000000
349,11.000000,349.000000,11.000000
350,11.000000,350.000000,11.000000
351,6.000000,351.000000,6.000000
352,5.000000,352.000000,5.000000
353,7.000000,353.000000,7.000000
354,5.000000,354.000000,5.000000
355,11.000000,355.000000,11.000000
356,12.000000,356.000000,12.000000
357,10.000000,357.000000,10.000000
358,14.000000,358.000000,14.000000
359,11.000000,359.000000,11.000000
360,12.000000,360.000000,12.000000
361,13.000000,361.000000,13.000000
362,7.000000,362.000000,7.000000
363,7.000000,363.000000,7.000000
364,9.000000,364.000000,9.000000
365,10.000000,365.000000,10.000000
366,4.000000,366.000000,4.000000
367,6.000000,367.000000,6.000000
368,6.000000,368.000000,6.000000
369,13.000000,369.000000,13.000000
370,5.000000,370.000000,5.000000
371,5.000000,371.000000,5.000000
372,13.000000,372.000000,13.000000
373,8.000000,373.000000,8.000000
374,7.000000,374.000000,7.000000
375,8.000000,375.000000,8.000000
376,9.000000,376.000000,9.000000
377,9.000000,377.000000,9.000000
378,10.000000,378.000000,10.000000
379,5.000000,379.000000,5.000000
380,5.000000,380.000000,5.000000
381,3.000000,381.000000,3.000000
382,9.000000,382.000000,9.000000
383,3.000000,383.000000,3.000000
384,6.000000,384.000000,6.000000
385,5.000000,385.000000,5.000000
386,9.000000,386.000000,9.000000
387,13.000000,387.000000,13.000000
388,9.000000,388.000000,9.000000
389,5.000000,389.000000,5.000000
390,7.000000,390.000000,7.000000
391,3.000000,391.000000,3.000000
392,2.000000,392.000000,2.000000
393,6.000000,393.000000,6.000000
394,10.000000,394.000000,10.000000
395,9.000000,395.000000,9.000000
396,12.000000,396.000000,12.000000
397,9.000000,397.000000,9.000000
398,12.000000,398.000000,12.000000
